Epoch,Training Loss,Validation Loss,Avg True Labels,T 0.10 Micro F1,T 0.10 Macro F1,T 0.10 Avg Pred Labels,T 0.30 Micro F1,T 0.30 Macro F1,T 0.30 Avg Pred Labels,T 0.50 Micro F1,T 0.50 Macro F1,T 0.50 Avg Pred Labels,T 0.70 Micro F1,T 0.70 Macro F1,T 0.70 Avg Pred Labels,T 0.90 Micro F1,T 0.90 Macro F1,T 0.90 Avg Pred Labels,Best Threshold,Best Macro F1,Precision@3,Precision@5,Top3 Micro F1,Top3 Macro F1,Top5 Micro F1,Top5 Macro F1,Hybrid T0.10 K3 Micro F1,Hybrid T0.10 K3 Macro F1,Hybrid T0.10 K5 Micro F1,Hybrid T0.10 K5 Macro F1,Hybrid T0.30 K3 Micro F1,Hybrid T0.30 K3 Macro F1,Hybrid T0.30 K5 Micro F1,Hybrid T0.30 K5 Macro F1,Hybrid T0.50 K3 Micro F1,Hybrid T0.50 K3 Macro F1,Hybrid T0.50 K5 Micro F1,Hybrid T0.50 K5 Macro F1,Hybrid T0.70 K3 Micro F1,Hybrid T0.70 K3 Macro F1,Hybrid T0.70 K5 Micro F1,Hybrid T0.70 K5 Macro F1,Hybrid T0.90 K3 Micro F1,Hybrid T0.90 K3 Macro F1,Hybrid T0.90 K5 Micro F1,Hybrid T0.90 K5 Macro F1
1,0.337336,0.34317,4.485119,0.065054,0.032497,101.507738,0.1511,0.018131,21.254762,0.175024,0.010895,5.581548,0.00969,0.000743,0.060714,0,0,0,0.1,0.032497,0.200794,0.170714,0.160954,0.008873,0.179981,0.01068,0.160954,0.008873,0.179981,0.01068,0.160954,0.008873,0.179981,0.01068,0.159007,0.008829,0.173718,0.010156,0.155848,0.007985,0.175179,0.010039,0.160954,0.008873,0.179981,0.01068
2,0.300349,0.287147,4.485119,0.092115,0.058847,74.375595,0.220614,0.070168,17.806548,0.293012,0.05558,6.281548,0.24359,0.028886,1.73631,0.112866,0.007982,0.377381,0.3,0.070168,0.344246,0.271548,0.275944,0.037685,0.286288,0.047662,0.275944,0.037685,0.286288,0.047662,0.275944,0.037685,0.286288,0.047662,0.275024,0.037294,0.290162,0.046887,0.256151,0.030122,0.262928,0.034936,0.248683,0.031086,0.261859,0.040604
3,0.249816,0.226467,4.485119,0.126798,0.095698,57.020833,0.275606,0.161385,17.790476,0.374953,0.16139,8.052976,0.410916,0.130974,3.105357,0.239432,0.042093,0.795238,0.5,0.16139,0.475,0.373333,0.380755,0.112766,0.393599,0.142042,0.380755,0.112766,0.393599,0.142042,0.380755,0.112766,0.393646,0.142068,0.381409,0.112864,0.397244,0.137156,0.377607,0.107001,0.404283,0.132087,0.338043,0.086374,0.350796,0.108023
4,0.221922,0.191578,4.485119,0.165282,0.136854,44.010714,0.320289,0.233942,16.459524,0.424819,0.260667,8.455952,0.477262,0.222079,4.192857,0.368961,0.114844,1.490476,0.5,0.260667,0.53869,0.42631,0.431809,0.17517,0.449451,0.221496,0.431809,0.17517,0.449451,0.221496,0.431809,0.17517,0.449592,0.221543,0.432761,0.174502,0.45513,0.221057,0.43146,0.165696,0.465419,0.201916,0.389711,0.138813,0.403848,0.157522
5,0.14587,0.166332,4.485119,0.190793,0.165116,38.430952,0.350523,0.282622,15.875595,0.461365,0.324082,8.679762,0.529511,0.307217,4.672024,0.465476,0.207272,2.049405,0.5,0.324082,0.597817,0.474405,0.479205,0.254296,0.500157,0.306306,0.479205,0.254296,0.500157,0.306306,0.479243,0.254314,0.50088,0.306518,0.481274,0.254607,0.510826,0.306302,0.482587,0.245737,0.525423,0.291781,0.449239,0.210045,0.472671,0.235004
6,0.14402,0.155394,4.485119,0.236778,0.215506,29.719048,0.405601,0.336701,12.943452,0.514006,0.371445,7.329167,0.568621,0.348996,4.236905,0.494602,0.23696,2.131548,0.5,0.371445,0.62619,0.4975,0.501948,0.277571,0.524506,0.340056,0.501948,0.277571,0.524506,0.340056,0.502068,0.277616,0.525766,0.340142,0.504133,0.276913,0.538557,0.340761,0.505211,0.271216,0.552698,0.327187,0.46717,0.227938,0.492687,0.258384
7,0.13776,0.140778,4.485119,0.221569,0.199011,33.195238,0.390384,0.33539,14.851786,0.500978,0.407195,8.910119,0.574871,0.407286,5.297619,0.557587,0.329494,2.677976,0.7,0.407286,0.640675,0.519167,0.513559,0.314742,0.547349,0.389299,0.513559,0.314742,0.547383,0.389331,0.513804,0.314779,0.548899,0.389729,0.515861,0.315515,0.556199,0.390634,0.51965,0.311349,0.572494,0.383161,0.504157,0.291176,0.546119,0.337652
8,0.105368,0.134332,4.485119,0.255742,0.22947,28.118452,0.419906,0.365942,13.444048,0.529538,0.435212,8.250595,0.598865,0.443373,5.166071,0.58076,0.356222,2.859524,0.7,0.443373,0.657341,0.532619,0.526918,0.332599,0.561531,0.408512,0.526918,0.332599,0.561531,0.408512,0.527086,0.33264,0.563224,0.408856,0.529177,0.3339,0.573828,0.413301,0.532713,0.333383,0.59094,0.412732,0.519869,0.308491,0.569066,0.361866
9,0.108437,0.129455,4.485119,0.288758,0.272594,24.238095,0.449356,0.406003,12.239881,0.556011,0.467515,7.725595,0.615848,0.465638,5.010119,0.592303,0.372513,2.830952,0.5,0.467515,0.671032,0.54381,0.537893,0.352839,0.573329,0.433833,0.537893,0.352839,0.573365,0.433865,0.538192,0.352972,0.576297,0.435109,0.540692,0.353783,0.587692,0.436861,0.544008,0.348798,0.60321,0.431896,0.529935,0.32198,0.580477,0.379334
10,0.101987,0.124555,4.485119,0.300418,0.285204,23.158929,0.464405,0.423556,11.869643,0.569166,0.487303,7.614881,0.629128,0.49194,5.05,0.610069,0.393938,2.939881,0.7,0.49194,0.694841,0.552738,0.556978,0.376429,0.582742,0.452948,0.556978,0.376429,0.582925,0.453032,0.55744,0.376545,0.587051,0.453895,0.559531,0.37642,0.600995,0.458316,0.562526,0.371724,0.616877,0.451648,0.546892,0.339739,0.595638,0.395744
11,0.087359,0.124089,4.485119,0.330108,0.30941,20.48869,0.490512,0.442536,10.916667,0.584569,0.4981,7.241071,0.637315,0.500682,4.897619,0.618435,0.418579,2.960714,0.7,0.500682,0.693849,0.559167,0.556183,0.388961,0.58952,0.466905,0.556183,0.388961,0.589742,0.466983,0.556954,0.389155,0.594749,0.46879,0.559699,0.389524,0.608525,0.472037,0.562756,0.384415,0.624307,0.466466,0.54957,0.362606,0.603747,0.419758
